Year,Station_ID,Distance_m,N_channels,Total_wet_width_m,H_bits,eBI,Total_Water_Area_km2
1990,1,0,7,1821.8889053853047,1.129383108644227,2.187651770250337,81.56709410615817
1990,2,2000,13,2015.6717833231544,2.5913748642009247,6.026727624290752,81.56709410615817
1990,3,4000,6,1747.0791498583887,1.4537522031294885,2.7391954361315434,81.56709410615817
1990,4,6000,3,2327.2344593788644,0.4674436632394229,1.382657341366172,81.56709410615817
1990,5,8000,3,1142.9896329371063,0.9995390126855492,1.9993610379752909,81.56709410615817
1990,6,10000,9,1350.1355480289967,2.359353463075274,5.1314034608252275,81.56709410615817
1990,7,12000,5,874.93573511681,1.4431765500936276,2.7191892247776432,81.56709410615817
1990,8,14000,3,902.2859080260561,0.5105228673250203,1.424566399119081,81.56709410615817
1990,9,16000,3,618.145451420773,0.8694009761084567,1.8269041909230057,81.56709410615817
1990,10,18000,1,621.7647960111093,-0.0,1.0,81.56709410615817
1990,11,20000,2,493.942360835202,0.34258557188022587,1.2680270939425031,81.56709410615817
1990,12,22000,4,601.2624388760973,1.1355056273227964,2.196955468769057,81.56709410615817
1990,13,24000,6,1353.0073172243362,2.0149096176432604,4.041552581715151,81.56709410615817
1990,14,26000,3,1601.6021920957683,0.9617674599934416,1.9476945737056923,81.56709410615817
1990,15,28000,8,2036.8225194511688,2.6594397695550622,6.31787664703179,81.56709410615817
1990,16,30000,6,2161.967188640485,1.6325371393669497,3.100577905703789,81.56709410615817
1990,17,32000,8,2173.0835469806048,1.2398048852004662,2.361665901833048,81.56709410615817
1990,18,34000,8,1367.8121991719377,2.455775824047487,5.486080622905364,81.56709410615817
1990,19,36000,6,1401.3288967429103,2.4450896813033003,5.445594966416385,81.56709410615817
1990,20,38000,9,1533.8820772933889,2.859770989071636,7.259000869769273,81.56709410615817
1990,21,40000,2,546.6865218556043,0.5156415252125082,1.4296297138551521,81.56709410615817
1990,22,42000,1,334.86962195203887,-0.0,1.0,81.56709410615817
2000,1,0,1,1388.6489202073774,-0.0,1.0,132.99152088487176
2000,2,2000,5,3499.59298553189,0.607760103722179,1.5238914113819704,132.99152088487176
2000,3,4000,6,3055.9878486716416,1.2421094154639254,2.3654413911742496,132.99152088487176
2000,4,6000,5,2743.622500291132,0.550145764684689,1.4642336293378733,132.99152088487176
2000,5,8000,4,2269.2377491040656,0.9482051420346651,1.9294707080935367,132.99152088487176
2000,6,10000,3,2081.709312456678,1.148339862279679,2.2165868057373888,132.99152088487176
2000,7,12000,4,2387.171824481423,1.239621195324197,2.3613652239429364,132.99152088487176
2000,8,14000,3,2382.6831424069974,0.7008549877514654,1.6254678121343387,132.99152088487176
2000,9,16000,3,1816.8176041155466,0.6272081733449193,1.5445731239237637,132.99152088487176
2000,10,18000,2,1545.5473491933053,0.7300503975260882,1.6586970337196112,132.99152088487176
2000,11,20000,6,2500.779276210228,1.8038063523969987,3.491401695185288,132.99152088487176
2000,12,22000,5,2153.42431387899,0.45242485188828346,1.368338199498383,132.99152088487176
2000,13,24000,2,2926.6336727806865,0.5191602566305714,1.4331208346457627,132.99152088487176
2000,14,26000,5,2348.55541735369,1.7243881908216672,3.304399666099287,132.99152088487176
2000,15,28000,3,2317.076284086094,0.8072716400906099,1.7498989812596917,132.99152088487176
2000,16,30000,5,2434.1474986003627,0.8811202845255497,1.8418049482748082,132.99152088487176
2000,17,32000,8,1557.4272580501788,2.55348027709622,5.870487352588132,132.99152088487176
2000,18,34000,7,1153.983825220916,2.364293173979612,5.149003225834517,132.99152088487176
2000,19,36000,2,945.5290033959606,0.46901889508928163,1.3841678444867984,132.99152088487176
2000,20,38000,6,586.0609260831724,2.3180010847889903,4.98640852647145,132.99152088487176
2000,21,40000,4,598.6838663463095,1.6393622017347282,3.115280785700996,132.99152088487176
2000,22,42000,2,326.74605707453384,0.22260035261510172,1.166834826927398,132.99152088487176
2010,1,0,5,1657.6993132050404,0.7655595278308129,1.7000292014985523,123.67051386549117
