Date,Precipitation
01/01/1982 00:00:00,16
02/01/1982 00:00:00,39.10
03/01/1982 00:00:00,25.70
04/01/1982 00:00:00,59.20
05/01/1982 00:00:00,75
06/01/1982 00:00:00,133.40
07/01/1982 00:00:00,99.60
08/01/1982 00:00:00,380.70
09/01/1982 00:00:00,256.40
10/01/1982 00:00:00,5.30
11/01/1982 00:00:00,19
12/01/1982 00:00:00,6
01/01/1983 00:00:00,0
02/01/1983 00:00:00,2.20
03/01/1983 00:00:00,36.50
04/01/1983 00:00:00,117
05/01/1983 00:00:00,145.70
06/01/1983 00:00:00,133.70
07/01/1983 00:00:00,420.30
08/01/1983 00:00:00,187
09/01/1983 00:00:00,256.50
10/01/1983 00:00:00,129
11/01/1983 00:00:00,0.30
12/01/1983 00:00:00,32.50
01/01/1984 00:00:00,25.90
02/01/1984 00:00:00,18.50
03/01/1984 00:00:00,13.90
04/01/1984 00:00:00,73.90
05/01/1984 00:00:00,73.40
06/01/1984 00:00:00,169.40
07/01/1984 00:00:00,372.40
08/01/1984 00:00:00,254.70
09/01/1984 00:00:00,441.50
10/01/1984 00:00:00,37.90
11/01/1984 00:00:00,0
12/01/1984 00:00:00,15.90
01/01/1985 00:00:00,15.80
02/01/1985 00:00:00,0
03/01/1985 00:00:00,1.10
04/01/1985 00:00:00,37.20
05/01/1985 00:00:00,244.80
06/01/1985 00:00:00,116.50
07/01/1985 00:00:00,435.90
08/01/1985 00:00:00,276.30
09/01/1985 00:00:00,479.20
10/01/1985 00:00:00,222.30
11/01/1985 00:00:00,0
12/01/1985 00:00:00,98.60
01/01/1986 00:00:00,0
02/01/1986 00:00:00,32.40
03/01/1986 00:00:00,2.60
04/01/1986 00:00:00,117.10
05/01/1986 00:00:00,193
06/01/1986 00:00:00,375.20
07/01/1986 00:00:00,338.50
08/01/1986 00:00:00,289.20
09/01/1986 00:00:00,292.70
10/01/1986 00:00:00,42.90
11/01/1986 00:00:00,4.20
12/01/1986 00:00:00,70.20
01/01/1987 00:00:00,0.20
02/01/1987 00:00:00,51.30
03/01/1987 00:00:00,22.70
04/01/1987 00:00:00,35.60
05/01/1987 00:00:00,61.90
06/01/1987 00:00:00,91.10
07/01/1987 00:00:00,634.20
08/01/1987 00:00:00,263.90
09/01/1987 00:00:00,107.30
10/01/1987 00:00:00,217.60
11/01/1987 00:00:00,0
12/01/1987 00:00:00,17.40
01/01/1988 00:00:00,0
02/01/1988 00:00:00,24.60
03/01/1988 00:00:00,92.80
04/01/1988 00:00:00,23.90
05/01/1988 00:00:00,102.90
06/01/1988 00:00:00,222.30
07/01/1988 00:00:00,317.30
08/01/1988 00:00:00,288.50
09/01/1988 00:00:00,127.20
10/01/1988 00:00:00,13.10
11/01/1988 00:00:00,5
12/01/1988 00:00:00,126.90
01/01/1989 00:00:00,78.40
02/01/1989 00:00:00,15.30
03/01/1989 00:00:00,22.70
04/01/1989 00:00:00,0
05/01/1989 00:00:00,248.40
06/01/1989 00:00:00,157
07/01/1989 00:00:00,334.30
08/01/1989 00:00:00,110.30
09/01/1989 00:00:00,154.80
10/01/1989 00:00:00,3.30
11/01/1989 00:00:00,18.40
12/01/1989 00:00:00,0
01/01/1990 00:00:00,0
02/01/1990 00:00:00,63.40
03/01/1990 00:00:00,93.30
04/01/1990 00:00:00,92.20
05/01/1990 00:00:00,124.20
06/01/1990 00:00:00,153.80
07/01/1990 00:00:00,411.80
08/01/1990 00:00:00,324.70
09/01/1990 00:00:00,170.30
10/01/1990 00:00:00,18.20
11/01/1990 00:00:00,0
12/01/1990 00:00:00,2.60
01/01/1991 00:00:00,23
02/01/1991 00:00:00,16
03/01/1991 00:00:00,70.40
04/01/1991 00:00:00,25.20
05/01/1991 00:00:00,66.20
06/01/1991 00:00:00,185.20
07/01/1991 00:00:00,169.40
08/01/1991 00:00:00,306.20
09/01/1991 00:00:00,121.50
10/01/1991 00:00:00,0
11/01/1991 00:00:00,0
12/01/1991 00:00:00,33.40
01/01/1992 00:00:00,13.80
