Year,Month,Discharge (m3/s)
1963,Jan,1.17
1964,Jan,1.47
1965,Jan,1.32
1966,Jan,1.6
1967,Jan,1.09
1968,Jan,1.66
1969,Jan,1.18
1970,Jan,0.82
1971,Jan,1.15
1972,Jan,1.72
1973,Jan,1.38
1974,Jan,1.59
1975,Jan,1.28
1976,Jan,1.46
1977,Jan,1.28
1963,Feb,1.06
1964,Feb,1.39
1965,Feb,1.3
1966,Feb,1.47
1967,Feb,0.93
1968,Feb,1.46
1969,Feb,0.89
1970,Feb,0.72
1971,Feb,1.11
1972,Feb,1.78
1973,Feb,1.24
1974,Feb,1.33
1975,Feb,1.18
1976,Feb,1.25
1977,Feb,1.22
1963,Mar,1.13
1964,Mar,1.17
1965,Mar,1.22
1966,Mar,1.17
1967,Mar,0.86
1968,Mar,1.63
1969,Mar,0.87
1970,Mar,0.64
1971,Mar,1.1
1972,Mar,1.62
1973,Mar,1.58
1974,Mar,1.14
1975,Mar,0.88
1976,Mar,1.02
1977,Mar,1.07
1963,Apr,1.15
1964,Apr,0.91
1965,Apr,1.76
1966,Apr,0.74
1967,Apr,1.02
1968,Apr,1.21
1969,Apr,0.92
1970,Apr,0.6
1971,Apr,1.98
1972,Apr,1.41
1973,Apr,0.96
1974,Apr,1.16
1975,Apr,0.76
1976,Apr,1.09
1977,Apr,1.39
1963,May,1.65
1964,May,1.26
1965,May,1.47
1966,May,1.12
1967,May,0.65
1968,May,1.1
1969,May,0.95
1970,May,0.64
1971,May,2.13
1972,May,1.38
1973,May,1.29
1974,May,1.26
1975,May,1.07
1976,May,1.44
1977,May,1.64
1963,Jun,1.13
1964,Jun,2.21
1965,Jun,3.73
1966,Jun,1.14
1967,Jun,4.53
1968,Jun,2.52
1969,Jun,0.88
1970,Jun,3.42
1971,Jun,21.6
1972,Jun,1.45
1973,Jun,10.2
1974,Jun,1.66
1975,Jun,2.11
1976,Jun,7.96
1977,Jun,1.57
1963,Jul,6.61
1964,Jul,7.24
1965,Jul,17.2
1966,Jul,10.4
1967,Jul,11.8
1968,Jul,5.72
1969,Jul,3.1
1970,Jul,21.5
1971,Jul,5.17
1972,Jul,26.3
1973,Jul,7.34
1974,Jul,7.15
1975,Jul,14.8
1976,Jul,6.04
1977,Jul,3.16
1963,Aug,7.64
1964,Aug,12.1
1965,Aug,18.4
1966,Aug,20.8
1967,Aug,6.92
1968,Aug,6.33
1969,Aug,6.89
1970,Aug,8.96
1971,Aug,7.68
1972,Aug,5.6
1973,Aug,7.95
1974,Aug,15.6
1975,Aug,11.0
1976,Aug,4.75
1977,Aug,3.47
1963,Sep,5.75
1964,Sep,15.2
1965,Sep,5.71
1966,Sep,10.3
1967,Sep,5.65
1968,Sep,2.62
1969,Sep,4.18
1970,Sep,5.26
1971,Sep,4.27
1972,Sep,7.92
1973,Sep,9.51
1974,Sep,3.5
1975,Sep,4.7
1976,Sep,2.3
1977,Sep,1.8
1963,Oct,3.52
1964,Oct,4.49
1965,Oct,3.16
1966,Oct,3.33
1967,Oct,3.36
1968,Oct,7.12
1969,Oct,1.91
1970,Oct,3.3
1971,Oct,3.82
1972,Oct,3.51
1973,Oct,9.51
1974,Oct,3.5
1975,Oct,4.7
1976,Oct,2.3
1977,Oct,1.8
1963,Nov,2.16
1964,Nov,1.84
1965,Nov,2.85
1966,Nov,2.2
1967,Nov,2.32
1968,Nov,2.25
1969,Nov,1.1
1970,Nov,2.19
1971,Nov,2.22
1972,Nov,1.15
1973,Nov,5.14
1974,Nov,1.96
1975,Nov,2.35
1976,Nov,1.75
1977,Nov,1.6
1963,Dec,1.75
1964,Dec,1.5
1965,Dec,1.77
1966,Dec,1.73
1967,Dec,1.7
1968,Dec,1.47
1969,Dec,0.83
1970,Dec,1.46
1971,Dec,1.86
1972,Dec,1.58
1973,Dec,2.74
1974,Dec,1.5
1975,Dec,1.67
1976,Dec,1.45
1977,Dec,1.63
