Year,Power_generation
1981,27434
1982,87417
1983,82293
1984,104012
1985,174411
1986,190395
1987,198077
1988,170883
1989,132594
1990,163410
1991,117103
1992,71292
1993,107781
1994,113048
1995,167197
1996,167985
1997,121571
1998,195737
1999,249680
2000,175752
2001,145421
2002,170026
2003,160609
2004,173785
2005,114700
2006,138048
2007,153016
2008,75114
2009,86996
2010,98886
2011,143284
2012,92829
2013,94084
2014,90081
2015,71356
2016,73402
2017,62131
2018,91184
2019,162972
2020,195157
2021,172753
2022,17865
2023,76675.79653
2024,82192.1528
2025,85154.87505
2026,119464.1537
2027,129764.42
2028,130583.5242
2029,114048.7078
2030,104934.4763
2031,120432.628
2032,103584.0106
2033,72134.28118
2034,89307.32079
2035,102021.2595
2036,115896.8794
2037,115476.1804
2038,105626.6435
2039,135592.018
2040,154384.8781
2041,128555.3337
2042,115555.1177
2043,120492.0178
2044,125158.9454
2045,129522.8588
2046,92613.52514
2047,99177.54552
2048,84521.62157
2049,79399.39321
2050,95601.70863
2051,119521.1943
2052,132050.7234
2053,136270.8917
2054,122301.2675
2055,103084.3918
2056,118881.6992
2057,94650.54479
2058,77923.27945
2059,101816.0712
2060,102521.0629
2061,131820.553
2062,122132.9275
2063,96454.88312
2064,132328.2633
2065,158522.5976
2066,134319.5278
2067,119258.0021
2068,129439.6542
2069,115975.0949
2070,126472.1454
2071,102962.8764
2072,112792.0259
2073,88730.16081
2074,83887.73477
2075,103067.4866
2076,124283.3443
2077,134492.2098
2078,134619.4813
2079,130002.3614
2080,115684.4373
2081,121755.0371
2082,107438.3096
2083,82961.25907
2084,101210.8903
2085,103126.927
2086,129469.2621
2087,126644.0613
2088,92027.82825
2089,142673.0695
2090,157616.3656
2091,135451.1659
2092,121294.3627
2093,136757.1695
2094,123849.239
2095,130266.3069
2096,98660.73543
2097,111158.4692
2098,85868.76438
2099,92953.32481
2100,103062.7777
