Year,Precipitation,Sim_Precip,Corrected_Precip
1982,1115.3999999999999,,
1983,1460.7,,
1984,1497.3999999999999,,
1985,1927.7,,
1986,1758.0,,
1987,1503.2,,
1988,1344.5,,
1989,1142.9,,
1990,1454.5,,
1991,1016.5,,
1992,983.4,,
1993,1936.8,,
1994,1176.2,,
1995,1683.7,,
1996,1298.0,,
1997,1473.3999999999999,,
1998,1592.8999999999999,,
1999,2032.2,,
2000,1498.4,,
2001,1365.1,,
2002,1940.3,,
2003,1484.3,,
2004,1405.6,,
2005,1286.2,,
2006,1266.7,1309.11705,1190.9288096866183
2007,1548.0,1662.2963,1379.5257628625247
2008,943.0,1587.18505,961.1137053770237
2009,1152.7,1384.21645,1032.9143478915248
2010,1232.3,1434.7274,1099.2490237393608
2011,1485.7,1355.8711,1279.2861995871924
2012,1133.5,1523.1117,1008.7857421016956
2013,1235.3,1531.95265,1045.0246331749556
2014,751.4,1545.18,892.8053271306967
2015,895.5,1410.4255,845.5896332171901
2016,1012.0,1460.48765,922.234845493034
2017,1136.1,1421.9202,1041.1279880075328
2018,1092.3,1436.45765,970.8153635096586
2019,1633.1,1518.4131,1266.2832201910057
2020,1675.0,1566.8273000000002,1443.0569488843696
2021,1516.6000000000001,1480.88315,1234.845115740751
2022,1337.75,1503.76645,1187.5775979097489
2023,,1641.17995,1301.3482070241594
2024,,1521.83525,1359.250745406863
2025,,1518.13915,1379.9515409324215
2026,,1695.72955,1198.0101010340566
2027,,1440.3852,1214.7240768151328
2028,,1691.49335,1520.623785929544
2029,,1575.16795,1288.2439283772874
2030,,1417.5459,1123.7274041583642
2031,,1547.26525,992.0581799394422
2032,,1349.35225,1159.4114223871861
2033,,1549.0368,1208.90854694875
2034,,1672.24635,1118.827173949339
2035,,1502.80385,1274.9110497304177
2036,,1697.69455,1196.0659250469168
2037,,1544.6801,1257.0547346259048
2038,,1456.34635,1085.2447728321774
2039,,1517.0397,1401.1028116235984
2040,,1704.5198,1290.5421286358023
2041,,1505.52685,1150.078041688891
2042,,1483.99045,1016.9264531796553
2043,,1550.2886,1145.0353559790328
2044,,1558.9378,1141.5647225847338
2045,,1556.8529,1411.5861694752398
2046,,1726.7337,1271.9637833222637
2047,,1671.5837999999999,1126.51199644211
2048,,1613.40505,1157.7251651642875
2049,,1597.8458,1232.1253609480214
2050,,1740.79765,1136.5031736986593
2051,,2000.71365,1351.2370544899377
2052,,1772.74775,1219.0950910402216
2053,,1808.101,1190.8118899598433
2054,,1861.06375,1415.242510482254
2055,,1533.0689,1213.2275544657543
2056,,1838.5949,1224.356253385377
2057,,2006.8623499999999,1275.0041048146975
2058,,1503.50215,1283.9109845579546
2059,,1681.7566,1212.4003243902453
2060,,1851.2856,1419.9787827977416
2061,,1638.35635,1302.8150865906462
2062,,1923.884,1314.0490522436917
2063,,1658.5512999999999,1197.834511792535
2064,,1897.5197,1324.1934780756874
2065,,2109.2431,1237.45244920283
2066,,1725.885,1210.6244148558767
2067,,1674.7349,1118.0031805089225
2068,,1601.7676999999999,1037.97425951853
2069,,1990.0063499999999,1212.8735726737984
2070,,1917.3398,1232.6335511520745
2071,,1688.8496499999999,1172.3004431211066
2072,,1710.74415,1145.284642107487
2073,,1994.2699,1372.1752866223214
2074,,2058.3163,1226.556785376412
2075,,1588.4775,1346.6453841305033
2076,,2021.40795,1305.5540713863377
2077,,2115.153,1346.3997703727168
2078,,1996.26775,1232.817736025764
2079,,1769.7366,1163.391245813536
2080,,1791.37235,1214.6634779009612
2081,,2051.59785,1419.1675766550534
2082,,1765.8289,1308.2606986379478
2083,,1937.9507,1337.045064290994
2084,,1903.49945,1126.951596610707
2085,,1876.1209,1322.6355383380846
2086,,1957.76575,1290.7667279167981
2087,,2103.69135,1197.4101691796009
2088,,2324.61055,1351.3656346003597
2089,,1999.86245,1413.1767333544499
2090,,2181.29425,1323.3053321085424
2091,,2002.27625,1334.2465308626333
2092,,1922.79435,1276.505021835075
2093,,2034.6538,1332.2445950374827
2094,,2227.5383,1310.6255271249083
2095,,2081.5792500000002,1308.6469258789998
2096,,2335.82995,1511.9714912997576
2097,,2153.1235,1578.1011501003059
2098,,2225.53875,1238.0405888079404
2099,,2046.1463,1320.6068542286982
2100,,1909.94085,1251.255086316123
