Year,Month,Discharge,Date
1963,1,1.17,1963-01-01
1963,2,1.06,1963-02-01
1963,3,1.13,1963-03-01
1963,4,1.15,1963-04-01
1963,5,1.65,1963-05-01
1963,6,1.13,1963-06-01
1963,7,6.61,1963-07-01
1963,8,7.64,1963-08-01
1963,9,5.75,1963-09-01
1963,10,3.52,1963-10-01
1963,11,2.16,1963-11-01
1963,12,1.75,1963-12-01
1964,1,1.47,1964-01-01
1964,2,1.39,1964-02-01
1964,3,1.17,1964-03-01
1964,4,0.91,1964-04-01
1964,5,1.26,1964-05-01
1964,6,2.21,1964-06-01
1964,7,7.24,1964-07-01
1964,8,12.1,1964-08-01
1964,9,15.2,1964-09-01
1964,10,4.49,1964-10-01
1964,11,1.84,1964-11-01
1964,12,1.5,1964-12-01
1965,1,1.32,1965-01-01
1965,2,1.3,1965-02-01
1965,3,1.22,1965-03-01
1965,4,1.76,1965-04-01
1965,5,1.47,1965-05-01
1965,6,3.73,1965-06-01
1965,7,17.2,1965-07-01
1965,8,18.4,1965-08-01
1965,9,5.71,1965-09-01
1965,10,3.16,1965-10-01
1965,11,2.85,1965-11-01
1965,12,1.77,1965-12-01
1966,1,1.6,1966-01-01
1966,2,1.47,1966-02-01
1966,3,1.17,1966-03-01
1966,4,0.74,1966-04-01
1966,5,1.12,1966-05-01
1966,6,1.14,1966-06-01
1966,7,10.4,1966-07-01
1966,8,20.8,1966-08-01
1966,9,10.3,1966-09-01
1966,10,3.33,1966-10-01
1966,11,2.2,1966-11-01
1966,12,1.73,1966-12-01
1967,1,1.09,1967-01-01
1967,2,0.93,1967-02-01
1967,3,0.86,1967-03-01
1967,4,1.02,1967-04-01
1967,5,0.65,1967-05-01
1967,6,4.53,1967-06-01
1967,7,11.8,1967-07-01
1967,8,6.92,1967-08-01
1967,9,5.65,1967-09-01
1967,10,3.36,1967-10-01
1967,11,2.32,1967-11-01
1967,12,1.7,1967-12-01
1968,1,1.66,1968-01-01
1968,2,1.46,1968-02-01
1968,3,1.63,1968-03-01
1968,4,1.21,1968-04-01
1968,5,1.1,1968-05-01
1968,6,2.52,1968-06-01
1968,7,5.72,1968-07-01
1968,8,6.33,1968-08-01
1968,9,2.62,1968-09-01
1968,10,7.12,1968-10-01
1968,11,2.25,1968-11-01
1968,12,1.47,1968-12-01
1969,1,1.18,1969-01-01
