Year,Discharge
1963,2.893333333333333
1964,4.2316666666666665
1965,4.990833333333334
1966,4.666666666666667
1967,3.4025
1968,2.924166666666667
1969,1.9749999999999999
1970,4.1258333333333335
1971,4.507499999999999
1972,4.618333333333333
1973,4.903333333333333
1974,3.4458333333333333
1975,3.875
1976,2.734166666666667
1977,1.8025
1978,3.5631010583108775
1979,3.5494079250356667
1980,3.535823835307554
1981,3.5223487891265397
1982,3.5089827864925955
1983,3.4957258274057783
1984,3.482577911866031
1985,3.4695390398733825
1986,3.4566092114278324
1987,3.4437884265293808
1988,3.4310766851780277
1989,3.4184739873737726
1990,3.405980333116588
1991,3.393595722406502
1992,3.3813201552435435
1993,3.3691536316276545
1994,3.3570961515588635
1995,3.3451477150372004
1996,3.333308322062607
1997,3.321577972635112
1998,3.309956666754687
1999,3.2984444044213603
2000,3.287041185635133
2001,3.275747010396003
2002,3.2645618787039727
2003,3.25348579055904
2004,3.2425187459612066
2005,3.231660744910443
2006,3.191063460727029
2007,3.4455520421358217
2008,3.439061236760036
2009,3.0383282245031764
2010,3.1444240335198117
2011,2.9460865358990325
2012,3.1189980234502688
2013,3.1774004211020426
2014,3.077847921519437
2015,3.0020228787085705
2016,2.8614264728916488
2017,2.851921971137665
2018,3.199425039709745
2019,3.2562791256245345
2020,2.8993733040004224
2021,2.841121233584996
2022,3.2459546196205213
2023,3.108619285014074
2024,2.813414192529146
2025,3.1019839126537136
2026,3.1345150216700035
2027,3.050164696116361
2028,3.160592980989015
2029,3.267948776485469
2030,2.9014155068642284
2031,2.8981211188465834
2032,2.6677235747157853
2033,2.9799529373140587
2034,3.0191070117879053
2035,2.6507403845523654
2036,3.133063336764161
2037,3.1628346498655673
2038,2.6747166484420446
2039,2.9348140277601273
2040,3.233683757058967
2041,2.826800489905782
2042,2.747675125944461
2043,3.016834164206523
2044,2.674230561167175
2045,2.755504728665951
2046,3.0247088513342386
2047,3.211441393887251
2048,2.8219115157182166
2049,2.915469217819549
2050,2.7202282223857117
2051,3.1324306017460035
2052,2.9666169550665913
2053,2.9527611147155377
2054,2.966377816228175
2055,2.9690226206958727
2056,2.9547962730473682
2057,2.994176692635596
2058,2.7684072076794144
2059,2.5620032768872205
2060,2.6324762117232323
2061,2.5511690271905967
2062,2.919579021348248
2063,3.009877697917867
2064,3.054080491874957
2065,3.0824802393104225
2066,2.6161611715792845
2067,2.612361665950306
2068,2.6898632131214666
2069,3.009833416939111
2070,2.866986085680471
2071,2.646515431552311
2072,2.7139312794287567
2073,2.6681200543945245
2074,2.751453019603664
2075,2.4474084058765677
2076,2.958408699250055
2077,2.8773984089569353
2078,3.0131081404531073
2079,2.6849589176521533
2080,2.5085827158224894
2081,2.849796695076431
2082,2.5268770146666664
2083,2.584305740732283
2084,2.58411823046316
2085,2.61033628984486
2086,2.637091586338012
2087,2.7547299325565855
2088,3.1716543138531423
2089,2.6760531608978617
2090,3.1155964211698897
2091,2.5748080383409504
2092,2.5379475160156812
2093,2.422461318484047
2094,2.722090790883169
2095,2.7283371154027445
2096,2.8037273529474973
2097,2.77362588350541
2098,2.7726832562538264
2099,2.4201717220461627
2100,2.4475804825826377
