Year,Precipitation
1982,92.94999999999999
1983,121.72500000000001
1984,124.78333333333332
1985,160.64166666666668
1986,146.5
1987,125.26666666666667
1988,112.04166666666667
1989,95.24166666666667
1990,121.20833333333333
1991,84.70833333333333
1992,81.95
1993,161.4
1994,98.01666666666667
1995,140.30833333333334
1996,108.16666666666667
1997,122.78333333333332
1998,132.74166666666665
1999,169.35
2000,124.86666666666667
2001,113.75833333333333
2002,161.69166666666666
2003,123.69166666666666
2004,117.13333333333333
2005,107.18333333333334
2006,105.55833333333334
2007,129.0
2008,78.58333333333333
2009,96.05833333333334
2010,102.69166666666666
2011,123.80833333333334
2012,94.45833333333333
2013,102.94166666666666
2014,83.48888888888888
2015,74.625
2016,84.33333333333333
2017,94.675
2018,91.02499999999999
2019,136.09166666666667
2020,139.58333333333334
2021,126.38333333333334
2022,111.47916666666667
2023,124.04013214066667
2024,124.121673945
2025,125.73905623583333
2026,120.54048382416669
2027,114.49505583475
2028,138.18181303725
2029,122.59190124558334
2030,108.69034270549999
2031,105.6243119455
2032,109.60511219199999
2033,118.28716888999999
2034,116.59798214108334
2035,120.64404257783333
2036,122.07453355666667
2037,120.74822688249999
2038,109.13676915008334
2039,128.46949292583332
2040,127.820146174
2041,114.27397199741665
2042,106.82384082916667
2043,115.63077470166667
2044,116.3160135925
2045,129.8095306335
2046,128.20330879325
2047,117.95721656500001
2048,118.51927819999999
2049,121.89066280608334
2050,121.46865435666666
2051,140.55737697641666
2052,126.14317150558334
2053,125.55791360916668
2054,140.04208779166666
2055,119.33050427775
2056,128.23989777891668
2057,135.389667275
2058,122.70745651349999
2059,122.74501456
2060,141.0533069265
2061,127.83173713000001
2062,136.3359801625
2063,123.39721792666667
2064,135.29070309333335
2065,137.38909488441666
2066,125.80530134083334
2067,118.04656520158333
2068,112.65824608999999
2069,132.94901266
2070,130.88179030325
2071,121.130780365
2072,121.466266455
2073,141.57932462416667
2074,136.24866533
2075,128.05091344891667
2076,137.64511170841666
2077,143.88415935375
2078,133.069164425
2079,123.16996422825001
2080,125.83247762500001
2081,145.38348407333334
2082,132.22554996674998
2083,139.05057030333333
2084,125.59118185741666
2085,136.05635755608333
2086,136.218717905
2087,135.37193664716668
2088,150.58652829075
2089,144.50866619575
2090,143.89818097999998
2091,137.41409668491667
2092,134.1556131075
2093,139.46411004766665
2094,144.21682945691666
2095,139.97827432833333
2096,157.26062892983333
2097,157.90453195175
2098,140.78735571916667
2099,138.65776909141667
2100,131.77955100075
