Month,Average Precipitation Baseline (mm),Average Precipitation 2020s (mm),Average Precipitation 2050s (mm),Average Precipitation 2080s (mm)
Jan,19.10666666666667,29.855470640333333,35.632548003000004,36.624242589666665
Feb,28.543333333333333,31.495597347666667,28.107347421,32.21288323533334
Mar,33.21333333333334,25.193167164699997,26.253183071000006,36.405117125
Apr,65.01,83.84407487533333,127.41010507899999,172.9746276903333
May,133.3,160.8600983273333,214.52332037333338,260.39997297666673
Jun,226.09333333333336,252.66878002666667,299.7726593566667,337.51945182666657
Jul,374.55333333333334,356.54275966,365.3715407966667,371.76076268666674
Aug,289.00000000000006,214.02523707,217.97416596666667,218.74184431333333
Sep,193.59666666666672,138.02750922266665,122.95446188333334,123.33424555333333
Oct,41.583333333333336,59.71438555499999,49.84688997166667,37.72590518466666
Nov,8.75,10.640771555033332,10.7592156188,9.961528147766666
Dec,20.773333333333333,10.729244846699999,10.692681851800002,11.3741233335
Annual,119.46027777777778,105.70390070921985,0.0,0.0
