Month,Relative Change 2020s (%),Relative Change 2050s (%),Relative Change 2080s (%)
Jan,56.25682470516398,86.4927494923238,91.68305612177247
Feb,10.343094760014017,-1.5274526883101702,12.856066455681434
Mar,-24.147429251204358,-20.95589199819349,9.60994718486549
Apr,28.97104272470901,95.98539467620363,166.0738773886068
May,20.675242556139004,60.93272346086523,95.34881693673421
Jun,11.75419297045468,32.58801351506753,49.283239293507066
Jul,-4.808547160173008,-2.4513978970507044,-0.7455735667372526
Aug,-25.942824543252595,-24.57641316032295,-24.310780514417534
Sep,-28.703571399645316,-36.489370400661166,-36.293197772000205
Oct,43.60172878957913,19.872280492985972,-9.276380317434896
Nov,21.60881777180951,22.96246421485715,13.846035974476182
Dec,-48.35087525657896,-48.52688453883183,-45.246517970956354
Annual,-11.515440382741945,-100.0,-100.0
